Fold 1317: balanced counts 0→12, 1→12
Fold 1318: balanced counts 0→15, 1→15
Fold 1319: balanced counts 0→12, 1→12
Fold 1320: balanced counts 0→11, 1→11
Fold 1321: balanced counts 0→9, 1→9
Fold 1322: balanced counts 0→12, 1→12
Fold 1323: balanced counts 0→13, 1→13
Fold 1324: balanced counts 0→12, 1→12
Fold 1325: balanced counts 0→15, 1→15
Fold 1326: balanced counts 0→10, 1→10
Fold 1327: balanced counts 0→14, 1→14
Fold 1328: balanced counts 0→11, 1→11
Fold 1329: balanced counts 0→12, 1→12
Fold 1330: balanced counts 0→10, 1→10
Fold 1331: balanced counts 0→10, 1→10
Fold 1332: balanced counts 0→10, 1→10
Fold 1333: balanced counts 0→11, 1→11
Fold 1334: balanced counts 0→12, 1→12
Fold 1335: balanced counts 0→14, 1→14
Fold 1336: balanced counts 0→13, 1→13
Fold 1337: balanced counts 0→14, 1→14
Fold 1338: balanced counts 0→12, 1→12
Fold 1339: balanced counts 0→12, 1→12
Fold 1340: balanced counts 0→9, 1→9
Fold 1341: balanced counts 0→14, 1→14
Fold 1342: balanced counts 0→13, 1→13
Fold 1343: balanced counts 0→12, 1→12
Fold 1344: balanced counts 0→13, 1→13
Fold 1345: balanced counts 0→13, 1→13
Fold 1346: balanced counts 0→13, 1→13
Fold 1347: balanced counts 0→14, 1→14
Fold 1348: balanced counts 0→12, 1→12
Fold 1349: balanced counts 0→8, 1→8
Fold 1350: balanced counts 0→14, 1→14
Fold 1351: balanced counts 0→12, 1→12
Fold 1352: balanced counts 0→13, 1→13
Fold 1353: balanced counts 0→11, 1→11
Fold 1354: balanced counts 0→13, 1→13
Fold 1355: balanced counts 0→13, 1→13
Fold 1356: balanced counts 0→13, 1→13
Fold 1357: balanced counts 0→11, 1→11
Fold 1358: balanced counts 0→9, 1→9
Fold 1359: balanced counts 0→12, 1→12
Fold 1360: balanced counts 0→12, 1→12
Fold 1361: balanced counts 0→13, 1→13
Fold 1362: balanced counts 0→14, 1→14
Fold 1363: balanced counts 0→11, 1→11
Fold 1364: balanced counts 0→14, 1→14
Fold 1365: balanced counts 0→12, 1→12
Fold 1366: balanced counts 0→11, 1→11
Fold 1367: balanced counts 0→13, 1→13
Fold 1368: balanced counts 0→13, 1→13
Fold 1369: balanced counts 0→13, 1→13
Fold 1370: balanced counts 0→12, 1→12
Fold 1371: balanced counts 0→12, 1→12
Fold 1372: balanced counts 0→15, 1→15
Fold 1373: balanced counts 0→12, 1→12
Fold 1374: balanced counts 0→13, 1→13
Fold 1375: balanced counts 0→14, 1→14
Fold 1376: balanced counts 0→14, 1→14
Fold 1377: balanced counts 0→14, 1→14
Fold 1378: balanced counts 0→14, 1→14
Fold 1379: balanced counts 0→11, 1→11
Fold 1380: balanced counts 0→14, 1→14
Fold 1381: balanced counts 0→13, 1→13
Fold 1382: balanced counts 0→9, 1→9
Fold 1383: balanced counts 0→12, 1→12
Fold 1384: balanced counts 0→15, 1→15
Fold 1385: balanced counts 0→15, 1→15
Fold 1386: balanced counts 0→14, 1→14
Fold 1387: balanced counts 0→15, 1→15
Fold 1388: balanced counts 0→14, 1→14
Fold 1389: balanced counts 0→13, 1→13
Fold 1390: balanced counts 0→14, 1→14
Fold 1391: balanced counts 0→13, 1→13
Fold 1392: balanced counts 0→15, 1→15
Fold 1393: balanced counts 0→14, 1→14
Fold 1394: balanced counts 0→12, 1→12
Fold 1395: balanced counts 0→11, 1→11
Fold 1396: balanced counts 0→11, 1→11
Fold 1397: balanced counts 0→12, 1→12
Fold 1398: balanced counts 0→8, 1→8
Fold 1399: balanced counts 0→11, 1→11
Fold 1400: balanced counts 0→11, 1→11
Fold 1401: balanced counts 0→14, 1→14
Fold 1402: balanced counts 0→15, 1→15
Fold 1403: balanced counts 0→14, 1→14
Fold 1404: balanced counts 0→14, 1→14
Fold 1405: balanced counts 0→10, 1→10
Fold 1406: balanced counts 0→14, 1→14
Fold 1407: balanced counts 0→13, 1→13
Fold 1408: balanced counts 0→14, 1→14
Fold 1409: balanced counts 0→13, 1→13
Fold 1410: balanced counts 0→15, 1→15
Fold 1411: balanced counts 0→13, 1→13
Fold 1412: balanced counts 0→13, 1→13
Fold 1413: balanced counts 0→13, 1→13
Fold 1414: balanced counts 0→6, 1→6
Fold 1415: balanced counts 0→13, 1→13
Fold 1416: balanced counts 0→11, 1→11
Fold 1417: balanced counts 0→15, 1→15
Fold 1418: balanced counts 0→14, 1→14
Fold 1419: balanced counts 0→14, 1→14
Fold 1420: balanced counts 0→8, 1→8
Fold 1421: balanced counts 0→13, 1→13
Fold 1422: balanced counts 0→13, 1→13
Fold 1423: balanced counts 0→12, 1→12
Fold 1424: balanced counts 0→12, 1→12
Fold 1425: balanced counts 0→14, 1→14
Fold 1426: balanced counts 0→12, 1→12
Fold 1427: balanced counts 0→14, 1→14
Fold 1428: balanced counts 0→11, 1→11
Fold 1429: balanced counts 0→14, 1→14
Fold 1430: balanced counts 0→13, 1→13
Fold 1431: balanced counts 0→14, 1→14
Fold 1432: balanced counts 0→14, 1→14

⭐ Best fold 522 (eq 1.01) → rf_best.joblib

Walk-forward results:
 fold      auc       eq  thr_up  gap
    0 0.669683 0.996575    0.63 0.05
    1 0.470588 0.996664    0.55 0.05
    2 0.502232 0.996996    0.55 0.12
    3 0.495370 0.994124    0.67 0.05
    4 0.587054 0.996385    0.55 0.12
    5 0.562201 0.995822    0.55 0.08
    6 0.643541 0.997656    0.69 0.05
    7 0.680804 0.996963    0.55 0.05
    8 0.613757 0.998044    0.55 0.05
    9 0.650794 0.994715    0.69 0.05
   10 0.309659 0.995706    0.67 0.05
   11 0.198661 1.000000    0.69 0.05
   12 0.607955 0.997095    0.69 0.05
   13 0.727273 0.994377    0.55 0.05
   14 0.736607 0.995718    0.63 0.05
   15 0.720096 0.999080    0.55 0.05
   16 0.760000 0.998343    0.65 0.05
   17 0.643519 0.996721    0.55 0.08
   18 0.562500 1.000000    0.69 0.05
   19 0.375000 0.997860    0.55 0.05
   20 0.599432 0.994169    0.69 0.05
   21 0.253394 1.000000    0.67 0.05
   22 0.571759 0.989693    0.55 0.05
   23 0.605000 0.997755    0.63 0.05
   24 0.689815 0.997333    0.55 0.05
   25 0.491071 0.997736    0.63 0.05
   26 0.273756 0.996083    0.55 0.05
   27 0.595023 0.997292    0.69 0.05
   28 0.701357 0.994511    0.69 0.05
   29 0.585973 0.994721    0.69 0.05
   30 0.468750 0.994045    0.55 0.08
   31 0.571759 0.998095    0.69 0.05
   32 0.640625 0.998035    0.67 0.05
   33 0.650463 0.995857    0.55 0.05
   34 0.602679 0.992981    0.55 0.05
   35 0.685268 0.994521    0.67 0.05
   36 0.449735 0.997388    0.69 0.05
   37 0.590498 0.998117    0.55 0.05
   38 0.604911 1.000000    0.67 0.05
   39 0.642222 0.995218    0.65 0.05
   40 0.549774 0.998241    0.55 0.10
   41 0.697500 0.992220    0.69 0.05
   42 0.409091 0.997765    0.55 0.05
   43 0.649554 0.996333    0.55 0.05
   44 0.591111 0.998603    0.69 0.05
   45 0.642500 0.995587    0.55 0.05
   46 0.620370 0.998323    0.63 0.05
   47 0.453704 0.997580    0.69 0.05
   48 0.383929 0.998485    0.55 0.05
   49 0.424107 0.995800    0.69 0.05
   50 0.611607 0.995400    0.69 0.05
   51 0.627500 0.996400    0.55 0.05
   52 0.544643 0.997888    0.69 0.05
   53 0.448864 1.000000    0.69 0.05
   54 0.710648 1.000000    0.69 0.05
   55 0.631222 0.997140    0.55 0.08
   56 0.582500 0.996528    0.69 0.05
   57 0.397516 0.997781    0.69 0.05
   58 0.558824 0.997517    0.55 0.05
   59 0.593750 0.997031    0.55 0.05
   60 0.626697 0.998896    0.55 0.05
   61 0.464115 0.996445    0.55 0.05
   62 0.332579 0.994379    0.55 0.10
   63 0.526786 1.000000    0.69 0.05
   64 0.333333 0.997589    0.55 0.05
   65 0.560185 0.996486    0.55 0.05
   66 0.667464 0.996382    0.55 0.05
   67 0.479638 0.995538    0.63 0.05
   68 0.385000 0.994528    0.55 0.08
   69 0.516204 0.998252    0.69 0.05
   70 0.691111 0.996893    0.55 0.12
   71 0.618304 0.998158    0.55 0.05
   72 0.456938 0.995090    0.67 0.05
   73 0.892857 0.997516    0.55 0.05
   74 0.649554 0.993527    0.55 0.05
   75 0.576555 1.000000    0.69 0.05
   76 0.380000 0.993389    0.55 0.05
   77 0.475113 0.995823    0.55 0.05
   78 0.495370 0.997953    0.69 0.05
   79 0.591518 0.999055    0.55 0.10
   80 0.719907 0.996594    0.55 0.05
   81 0.462054 0.997654    0.55 0.05
   82 0.471292 0.998111    0.69 0.05
   83 0.557778 0.995238    0.69 0.05
   84 0.737557 0.996232    0.55 0.05
   85 0.543981 0.995532    0.55 0.05
   86 0.481900 0.998759    0.55 0.05
   87 0.497685 0.999039    0.55 0.12
   88 0.542500 0.996225    0.55 0.05
   89 0.361607 0.997294    0.67 0.05
   90 0.511161 0.999944    0.63 0.05
   91 0.250000 0.997372    0.69 0.05
   92 0.787330 0.994622    0.55 0.08
   93 0.459627 0.996575    0.69 0.05
   94 0.572398 1.000000    0.63 0.05
   95 0.560000 0.997653    0.63 0.05
   96 0.472851 0.996905    0.55 0.05
   97 0.609375 0.994629    0.55 0.05
   98 0.631111 0.999034    0.55 0.10
   99 0.714286 0.996298    0.55 0.10
  100 0.325792 0.997603    0.67 0.05
  101 0.600000 0.996470    0.55 0.10
  102 0.737557 0.996786    0.59 0.05
  103 0.495370 0.996069    0.69 0.05
  104 0.819444 0.993304    0.55 0.05
  105 0.531674 0.997058    0.55 0.05
  106 0.509050 0.997903    0.65 0.05
  107 0.523148 1.000000    0.69 0.05
  108 0.563492 0.997653    0.55 0.05
  109 0.513889 0.995048    0.55 0.10
  110 0.468326 0.995836    0.67 0.05
  111 0.450893 1.000000    0.67 0.05
  112 0.495536 0.997967    0.55 0.08
  113 0.600478 0.999170    0.69 0.05
  114 0.636364 0.997995    0.55 0.05
  115 0.551111 0.998569    0.69 0.05
  116 0.646667 0.997804    0.55 0.05
  117 0.540724 0.992932    0.55 0.10
  118 0.477273 0.995331    0.55 0.10
  119 0.460317 0.999847    0.55 0.05
  120 0.891204 0.996727    0.69 0.05
  121 0.533482 0.995582    0.69 0.05
  122 0.552036 0.996956    0.55 0.05
  123 0.495000 0.996166    0.55 0.10
  124 0.640625 0.999290    0.55 0.10
  125 0.598086 0.995127    0.55 0.05
  126 0.678733 0.995422    0.55 0.05
  127 0.392500 0.991410    0.55 0.05
  128 0.533937 0.994233    0.55 0.08
  129 0.626697 1.000000    0.69 0.05
  130 0.452489 0.996480    0.67 0.05
  131 0.432127 1.000000    0.63 0.05
  132 0.488839 0.997352    0.55 0.05
  133 0.756614 1.000000    0.63 0.05
  134 0.660000 0.998499    0.69 0.05
  135 0.638393 0.994255    0.65 0.05
  136 0.548889 0.997804    0.55 0.12
  137 0.624402 0.998002    0.65 0.05
  138 0.321429 0.995521    0.55 0.05
  139 0.613122 0.996165    0.67 0.05
  140 0.515837 0.998088    0.69 0.05
  141 0.701705 0.996263    0.69 0.05
  142 0.596591 0.997211    0.55 0.05
  143 0.506787 0.996272    0.65 0.05
  144 0.529412 0.993664    0.69 0.05
  145 0.402778 0.995285    0.67 0.05
  146 0.658482 0.997018    0.69 0.05
  147 0.573864 0.990300    0.69 0.05
  148 0.445701 0.997548    0.69 0.05
  149 0.484163 0.993799    0.55 0.05
  150 0.522321 0.992023    0.55 0.05
  151 0.610860 0.995979    0.55 0.12
  152 0.524554 1.000000    0.55 0.12
  153 0.525463 0.996644    0.55 0.05
  154 0.447964 0.998080    0.69 0.05
  155 0.531674 0.995842    0.55 0.05
  156 0.566667 0.998681    0.55 0.08
  157 0.546875 0.995052    0.67 0.05
  158 0.604072 1.000020    0.55 0.12
  159 0.486667 0.999499    0.55 0.05
  160 0.446429 1.000000    0.69 0.05
  161 0.645089 0.996205    0.55 0.05
  162 0.337054 0.996011    0.55 0.05
  163 0.750000 0.996475    0.67 0.05
  164 0.451111 0.997514    0.55 0.05
  165 0.611607 0.998209    0.55 0.10
  166 0.687500 0.998707    0.55 0.05
  167 0.650718 0.995486    0.55 0.08
  168 0.533482 0.992491    0.55 0.05
  169 0.699074 1.000116    0.67 0.05
  170 0.253589 1.000000    0.67 0.05
  171 0.395556 0.997076    0.67 0.05
  172 0.427602 0.996205    0.55 0.12
  173 0.581448 1.001499    0.59 0.05
  174 0.680995 0.999768    0.65 0.05
  175 0.656250 0.997024    0.55 0.05
  176 0.624434 0.996579    0.55 0.08
  177 0.647321 0.996420    0.55 0.05
  178 0.725446 0.998729    0.69 0.05
  179 0.671946 0.997853    0.55 0.05
  180 0.626697 0.997098    0.55 0.08
  181 0.748889 0.995870    0.55 0.10
  182 0.526786 0.992944    0.65 0.05
  183 0.422222 0.994246    0.55 0.05
  184 0.391403 0.994359    0.65 0.05
  185 0.667411 0.993227    0.69 0.05
  186 0.395833 0.995762    0.61 0.05
  187 0.638889 0.995841    0.57 0.05
  188 0.665000 0.998554    0.69 0.05
  189 0.696429 0.996538    0.55 0.12
  190 0.571770 0.997967    0.65 0.05
  191 0.610860 0.999111    0.69 0.05
  192 0.586124 1.000000    0.69 0.05
  193 0.727273 0.996965    0.55 0.05
  194 0.653333 0.994516    0.55 0.08
  195 0.542222 0.997935    0.69 0.05
  196 0.641148 0.994843    0.59 0.05
  197 0.600000 0.999742    0.69 0.05
  198 0.395000 0.996424    0.55 0.05
  199 0.650463 0.997913    0.55 0.05
  200 0.457386 0.998075    0.55 0.05
  201 0.582500 0.998160    0.69 0.05
  202 0.577778 1.000000    0.67 0.05
  203 0.614583 0.996515    0.69 0.05
  204 0.493333 0.997108    0.55 0.05
  205 0.617225 1.000000    0.69 0.05
  206 0.657407 0.998385    0.65 0.05
  207 0.674641 0.996390    0.55 0.05
  208 0.252232 0.998824    0.55 0.08
  209 0.744444 0.997826    0.69 0.05
  210 0.593301 0.995386    0.55 0.05
  211 0.821429 0.993049    0.55 0.05
  212 0.515837 0.996382    0.55 0.05
  213 0.837054 0.998325    0.55 0.05
  214 0.495556 0.998691    0.55 0.05
  215 0.533937 0.997979    0.55 0.05
  216 0.504444 0.996142    0.69 0.05
  217 0.513575 0.995511    0.55 0.10
  218 0.587963 0.996329    0.55 0.10
  219 0.617500 0.996291    0.67 0.05
  220 0.364444 0.990860    0.57 0.05
  221 0.718750 0.998641    0.63 0.05
  222 0.619910 0.997878    0.55 0.08
  223 0.446759 0.995905    0.55 0.05
  224 0.580357 0.999107    0.55 0.05
  225 0.483796 0.998526    0.55 0.05
  226 0.470982 0.998350    0.67 0.05
  227 0.618056 0.997964    0.65 0.05
  228 0.520362 0.997688    0.55 0.05
  229 0.557870 0.992243    0.67 0.05
  230 0.506667 0.997424    0.65 0.05
  231 0.633929 1.000000    0.65 0.05
  232 0.537037 0.996643    0.55 0.05
  233 0.648148 1.000000    0.67 0.05
  234 0.452500 0.996042    0.61 0.05
  235 0.472851 0.995368    0.67 0.05
  236 0.627500 0.996622    0.55 0.05
  237 0.622685 0.998074    0.55 0.10
  238 0.626667 0.998347    0.55 0.05
  239 0.520000 0.998042    0.55 0.05
  240 0.342105 0.997702    0.55 0.08
  241 0.752315 0.998367    0.55 0.05
  242 0.442130 0.995100    0.69 0.05
  243 0.555556 0.998118    0.55 0.05
  244 0.679426 0.998381    0.55 0.05
  245 0.435000 0.995486    0.65 0.05
  246 0.513393 0.998746    0.55 0.05
  247 0.592500 0.996194    0.55 0.05
  248 0.685520 0.997705    0.69 0.05
  249 0.476000 1.000781    0.55 0.05
  250 0.531674 0.997134    0.55 0.08
  251 0.520833 0.999282    0.63 0.05
  252 0.400452 0.992271    0.63 0.05
  253 0.400463 1.000000    0.69 0.05
  254 0.595000 0.997994    0.67 0.05
  255 0.483254 0.996554    0.55 0.05
  256 0.264550 0.995846    0.55 0.05
  257 0.600446 0.997728    0.65 0.05
  258 0.547511 0.999229    0.55 0.05
  259 0.488426 0.997174    0.65 0.05
  260 0.602500 0.998359    0.63 0.05
  261 0.506944 1.000000    0.69 0.05
  262 0.444444 1.000000    0.67 0.05
  263 0.367725 0.997688    0.67 0.05
  264 0.538278 0.993862    0.69 0.05
  265 0.513393 0.996227    0.55 0.05
  266 0.552910 0.996770    0.61 0.05
  267 0.633484 0.999520    0.55 0.05
  268 0.712919 0.996997    0.55 0.05
  269 0.703349 0.998083    0.69 0.05
  270 0.710227 0.998801    0.55 0.12
  271 0.596273 0.995639    0.69 0.05
  272 0.560000 0.999623    0.55 0.05
  273 0.404018 0.996647    0.67 0.05
  274 0.520089 0.997343    0.55 0.08
  275 0.691388 0.993005    0.55 0.05
  276 0.540724 0.996030    0.55 0.08
  277 0.430000 0.991498    0.69 0.05
  278 0.689815 0.998955    0.67 0.05
  279 0.531100 0.998290    0.55 0.05
  280 0.466063 0.998782    0.55 0.05
  281 0.409091 0.997965    0.69 0.05
  282 0.664773 1.000000    0.67 0.05
  283 0.686603 0.996095    0.67 0.05
  284 0.642857 0.997696    0.65 0.05
  285 0.517857 0.998140    0.69 0.05
  286 0.389140 0.998900    0.67 0.05
  287 0.509050 0.998539    0.55 0.05
  288 0.531674 0.998014    0.63 0.05
  289 0.592760 0.997864    0.69 0.05
  290 0.806878 0.997801    0.67 0.05
  291 0.507177 0.994182    0.55 0.10
  292 0.512500 0.995823    0.55 0.05
  293 0.355114 0.999213    0.55 0.05
  294 0.542500 0.995987    0.55 0.05
  295 0.551339 0.995527    0.55 0.05
  296 0.419255 0.997048    0.55 0.05
  297 0.434028 0.997917    0.55 0.05
  298 0.401786 0.996921    0.55 0.05
  299 0.502392 0.996608    0.67 0.05
  300 0.482143 0.995607    0.69 0.05
  301 0.676471 0.997841    0.69 0.05
  302 0.492063 0.998113    0.65 0.05
  303 0.529101 1.000000    0.67 0.05
  304 0.514205 0.997329    0.69 0.05
  305 0.389205 0.996464    0.59 0.05
  306 0.487578 0.997701    0.65 0.05
  307 0.620000 1.000000    0.69 0.05
  308 0.399554 0.997546    0.55 0.05
  309 0.425837 0.997758    0.67 0.05
  310 0.433014 1.000000    0.55 0.12
  311 0.576389 1.000000    0.55 0.10
  312 0.500000 0.997931    0.63 0.05
  313 0.733333 0.995549    0.69 0.05
  314 0.576923 0.994814    0.55 0.05
  315 0.524444 0.997872    0.67 0.05
  316 0.643519 0.993726    0.69 0.05
  317 0.341518 0.996717    0.69 0.05
  318 0.507500 0.997618    0.55 0.05
  319 0.488839 0.997880    0.55 0.12
  320 0.580000 0.997105    0.55 0.05
  321 0.518519 0.998378    0.69 0.05
  322 0.465278 1.000000    0.69 0.05
  323 0.483254 0.995682    0.65 0.05
  324 0.550926 0.995991    0.55 0.05
  325 0.564444 0.993095    0.65 0.05
  326 0.342500 1.000303    0.55 0.05
  327 0.437500 1.000000    0.69 0.05
  328 0.441176 1.000000    0.69 0.05
  329 0.544444 0.997019    0.55 0.05
  330 0.286932 0.992747    0.55 0.10
  331 0.633484 0.998709    0.69 0.05
  332 0.497738 0.997591    0.67 0.05
  333 0.451389 0.994055    0.55 0.05
  334 0.606667 0.996250    0.55 0.10
  335 0.645089 0.996549    0.55 0.05
  336 0.402715 0.995757    0.69 0.05
  337 0.557500 0.996343    0.55 0.05
  338 0.657895 0.994557    0.55 0.05
  339 0.484444 0.996935    0.55 0.05
  340 0.771493 0.996648    0.63 0.05
  341 0.636161 0.995576    0.69 0.05
  342 0.651584 0.997925    0.55 0.05
  343 0.656250 0.995773    0.69 0.05
  344 0.583732 0.994582    0.61 0.05
  345 0.608796 0.998703    0.55 0.05
  346 0.653846 0.994818    0.67 0.05
  347 0.406832 0.995696    0.65 0.05
  348 0.348416 0.995386    0.69 0.05
  349 0.391534 0.997335    0.55 0.10
  350 0.518519 0.998094    0.55 0.10
  351 0.674107 0.995758    0.67 0.05
  352 0.556561 0.995031    0.55 0.05
  353 0.528708 0.998761    0.65 0.05
  354 0.646667 0.998517    0.55 0.05
  355 0.602500 0.997464    0.63 0.05
  356 0.449074 0.996639    0.55 0.05
  357 0.620370 0.998251    0.55 0.05
  358 0.543981 0.995862    0.69 0.05
  359 0.637778 0.992181    0.65 0.05
  360 0.334842 0.995595    0.55 0.05
  361 0.531674 0.999085    0.55 0.12
  362 0.638009 0.997183    0.55 0.12
  363 0.610860 1.001390    0.55 0.05
  364 0.531100 0.995780    0.69 0.05
  365 0.604167 0.995362    0.55 0.12
  366 0.549107 0.995868    0.55 0.08
  367 0.625000 0.996500    0.55 0.05
  368 0.561086 0.999094    0.55 0.08
  369 0.526316 0.996671    0.59 0.05
  370 0.280000 0.997191    0.67 0.05
  371 0.531100 0.996012    0.69 0.05
  372 0.555024 0.995747    0.55 0.10
  373 0.537037 0.997685    0.55 0.12
  374 0.572398 0.997066    0.55 0.05
  375 0.671958 0.996115    0.65 0.05
  376 0.533937 1.000000    0.67 0.05
  377 0.592593 0.994066    0.55 0.05
  378 0.504525 0.998112    0.55 0.08
  379 0.714286 1.000000    0.67 0.05
  380 0.433333 1.000000    0.65 0.05
  381 0.750000 1.000000    0.65 0.05
  382 0.500000 0.997308    0.65 0.05
  383 0.561086 0.997857    0.67 0.05
  384 0.712500 0.995527    0.67 0.05
  385 0.462054 0.996191    0.67 0.05
  386 0.494709 0.995598    0.57 0.05
  387 0.731481 0.996153    0.63 0.05
  388 0.500000 0.998715    0.67 0.05
  389 0.430000 0.998067    0.67 0.05
  390 0.736607 0.995042    0.67 0.05
  391 0.593750 0.995692    0.69 0.05
  392 0.365741 1.000000    0.67 0.05
  393 0.312217 0.999227    0.55 0.05
  394 0.598086 0.996884    0.55 0.12
  395 0.755000 0.996545    0.67 0.05
  396 0.648889 0.993772    0.67 0.05
  397 0.588235 0.997203    0.55 0.05
  398 0.544643 0.997263    0.55 0.05
  399 0.638889 1.000000    0.65 0.05
  400 0.576923 0.994467    0.55 0.05
  401 0.633484 0.998703    0.55 0.05
  402 0.363636 0.997818    0.65 0.05
  403 0.607143 0.999364    0.55 0.05
  404 0.365741 0.994160    0.55 0.05
  405 0.522321 1.000900    0.55 0.05
  406 0.647321 1.000000    0.67 0.05
  407 0.480861 0.996378    0.65 0.05
  408 0.677033 0.998556    0.55 0.05
  409 0.600446 0.998148    0.67 0.05
  410 0.600446 0.995101    0.55 0.05
  411 0.432870 0.996783    0.55 0.05
  412 0.571429 0.996391    0.55 0.12
  413 0.560000 0.998692    0.63 0.05
  414 0.558036 0.998122    0.63 0.05
  415 0.618304 0.995918    0.69 0.05
  416 0.622768 0.998475    0.55 0.05
  417 0.525463 0.997668    0.69 0.05
  418 0.520000 0.995827    0.67 0.05
  419 0.638009 0.995666    0.55 0.05
  420 0.491111 0.998981    0.55 0.05
  421 0.734450 0.994061    0.69 0.05
  422 0.540670 0.991490    0.55 0.05
  423 0.725446 0.997303    0.63 0.05
  424 0.380952 0.995647    0.55 0.05
  425 0.737500 0.993161    0.55 0.10
  426 0.883598 0.997495    0.67 0.05
  427 0.665158 0.998541    0.55 0.05
  428 0.560000 1.000000    0.69 0.05
  429 0.473684 0.999007    0.55 0.05
  430 0.567873 0.998704    0.55 0.05
  431 0.606481 0.995165    0.69 0.05
  432 0.549774 1.000000    0.55 0.08
  433 0.478469 0.996479    0.65 0.05
  434 0.397500 0.996053    0.65 0.05
  435 0.720982 0.997582    0.69 0.05
  436 0.626984 0.996377    0.67 0.05
  437 0.647500 0.998416    0.55 0.05
  438 0.586957 0.995607    0.69 0.05
  439 0.470899 0.995325    0.55 0.05
  440 0.475113 0.995768    0.57 0.05
  441 0.684444 1.000026    0.55 0.05
  442 0.484444 1.000993    0.55 0.05
  443 0.511962 0.998803    0.55 0.10
  444 0.529101 0.996842    0.63 0.05
  445 0.466518 0.995831    0.55 0.10
  446 0.555000 0.997754    0.65 0.05
  447 0.558036 0.995687    0.69 0.05
  448 0.447964 0.997432    0.63 0.05
  449 0.650000 0.996283    0.55 0.05
  450 0.394180 0.997160    0.67 0.05
  451 0.599548 0.998266    0.55 0.12
  452 0.479911 0.997844    0.55 0.05
  453 0.563348 0.997367    0.55 0.05
  454 0.359729 0.999809    0.55 0.05
  455 0.562222 1.000000    0.69 0.05
  456 0.337104 0.996699    0.65 0.05
  457 0.675556 0.998268    0.55 0.05
  458 0.631579 0.996596    0.67 0.05
  459 0.502232 0.997368    0.55 0.10
  460 0.685185 0.997740    0.67 0.05
  461 0.685520 0.994999    0.69 0.05
  462 0.448661 1.000000    0.65 0.05
  463 0.619048 0.998302    0.55 0.08
  464 0.619617 0.996599    0.63 0.05
  465 0.624444 0.996854    0.67 0.05
  466 0.540670 0.995558    0.61 0.05
  467 0.223214 1.000000    0.67 0.05
  468 0.586667 0.995800    0.55 0.08
  469 0.568889 0.995647    0.55 0.05
  470 0.569444 0.991574    0.69 0.05
  471 0.240000 0.993163    0.55 0.05
  472 0.613426 0.998500    0.69 0.05
  473 0.618304 0.998978    0.55 0.12
  474 0.533333 0.999986    0.55 0.08
  475 0.476852 0.997704    0.69 0.05
  476 0.468889 0.998605    0.55 0.05
  477 0.643541 0.995549    0.67 0.05
  478 0.538462 0.998790    0.55 0.05
  479 0.506944 0.997699    0.55 0.05
  480 0.452153 0.996366    0.55 0.10
  481 0.659722 1.000000    0.65 0.05
  482 0.475113 0.997993    0.69 0.05
  483 0.549107 0.997435    0.55 0.08
  484 0.397321 0.994359    0.55 0.08
  485 0.488426 0.999301    0.55 0.08
  486 0.414773 0.996464    0.55 0.05
  487 0.533493 0.994529    0.55 0.05
  488 0.616071 0.995863    0.67 0.05
  489 0.672249 0.999827    0.69 0.05
  490 0.610577 0.998325    0.55 0.05
  491 0.388393 0.997509    0.55 0.05
  492 0.600446 0.998996    0.55 0.10
  493 0.666667 0.998242    0.55 0.10
  494 0.488839 0.998961    0.55 0.10
  495 0.581019 0.997993    0.55 0.08
  496 0.534722 0.995115    0.55 0.05
  497 0.650463 1.000000    0.69 0.05
  498 0.479167 0.995464    0.69 0.05
  499 0.503472 1.000000    0.67 0.05
  500 0.550239 0.998833    0.55 0.12
  501 0.705357 1.000000    0.69 0.05
  502 0.789352 1.000000    0.69 0.05
  503 0.500000 0.997497    0.65 0.05
  504 0.674208 1.000000    0.69 0.05
  505 0.606667 0.992044    0.69 0.05
  506 0.404018 0.994139    0.69 0.05
  507 0.613122 0.998259    0.55 0.12
  508 0.375000 1.000000    0.69 0.05
  509 0.526786 0.995215    0.55 0.05
  510 0.633929 0.996279    0.65 0.05
  511 0.658371 0.996238    0.69 0.05
  512 0.394180 1.000000    0.67 0.05
  513 0.622768 0.995851    0.67 0.05
  514 0.394737 1.000000    0.65 0.05
  515 0.613333 0.995861    0.63 0.05
  516 0.366029 0.995611    0.67 0.05
  517 0.522500 0.992553    0.55 0.05
  518 0.618056 0.997897    0.69 0.05
  519 0.284689 1.000000    0.69 0.05
  520 0.589286 0.996859    0.67 0.05
  521 0.665158 0.997197    0.55 0.05
  522 0.549774 1.010880    0.55 0.05
  523 0.820106 0.999108    0.55 0.05
  524 0.703704 0.995376    0.55 0.05
  525 0.533482 0.995514    0.55 0.05
  526 0.500000 0.995787    0.67 0.05
  527 0.515837 0.993957    0.67 0.05
  528 0.733333 1.000659    0.55 0.08
  529 0.560268 1.000000    0.65 0.05
  530 0.491111 0.996756    0.69 0.05
  531 0.471111 1.000000    0.67 0.05
  532 0.669856 0.995975    0.65 0.05
  533 0.442500 1.000000    0.67 0.05
  534 0.633333 0.997135    0.67 0.05
  535 0.520000 0.997110    0.55 0.05
  536 0.667411 0.998337    0.67 0.05
  537 0.460227 0.993332    0.63 0.05
  538 0.425339 0.992150    0.55 0.05
  539 0.481481 0.997754    0.55 0.05
  540 0.587500 1.000000    0.67 0.05
  541 0.484472 0.994747    0.69 0.05
