Fold 182: balanced counts 0→15, 1→15
Fold 183: balanced counts 0→14, 1→14
Fold 184: balanced counts 0→15, 1→15
Fold 185: balanced counts 0→13, 1→13
Fold 186: balanced counts 0→14, 1→14
Fold 187: balanced counts 0→12, 1→12
Fold 188: balanced counts 0→12, 1→12
Fold 189: balanced counts 0→10, 1→10
Fold 190: balanced counts 0→14, 1→14
Fold 191: balanced counts 0→11, 1→11
Fold 192: balanced counts 0→13, 1→13
Fold 193: balanced counts 0→11, 1→11
Fold 194: balanced counts 0→11, 1→11
Fold 195: balanced counts 0→15, 1→15
Fold 196: balanced counts 0→15, 1→15
Fold 197: balanced counts 0→11, 1→11
Fold 198: balanced counts 0→15, 1→15
Fold 199: balanced counts 0→10, 1→10
Fold 200: balanced counts 0→12, 1→12
Fold 201: balanced counts 0→8, 1→8
Fold 202: balanced counts 0→10, 1→10
Fold 203: balanced counts 0→15, 1→15
Fold 204: balanced counts 0→6, 1→6
Fold 205: balanced counts 0→15, 1→15
Fold 206: balanced counts 0→11, 1→11
Fold 207: balanced counts 0→12, 1→12
Fold 208: balanced counts 0→11, 1→11
Fold 209: balanced counts 0→14, 1→14
Fold 210: balanced counts 0→15, 1→15
Fold 211: balanced counts 0→11, 1→11
Fold 212: balanced counts 0→14, 1→14
Fold 213: balanced counts 0→13, 1→13
Fold 214: balanced counts 0→14, 1→14
Fold 215: balanced counts 0→15, 1→15
Fold 216: balanced counts 0→13, 1→13
Fold 217: balanced counts 0→15, 1→15
Fold 218: balanced counts 0→13, 1→13
Fold 219: balanced counts 0→12, 1→12
Fold 220: balanced counts 0→10, 1→10
Fold 221: balanced counts 0→15, 1→15
Fold 222: balanced counts 0→14, 1→14
Fold 223: balanced counts 0→13, 1→13
Fold 224: balanced counts 0→12, 1→12
Fold 225: balanced counts 0→14, 1→14
Fold 226: balanced counts 0→12, 1→12
Fold 227: balanced counts 0→14, 1→14
Fold 228: balanced counts 0→12, 1→12
Fold 229: balanced counts 0→13, 1→13
Fold 230: balanced counts 0→12, 1→12
Fold 231: balanced counts 0→15, 1→15
Fold 232: balanced counts 0→14, 1→14
Fold 233: balanced counts 0→12, 1→12
Fold 234: balanced counts 0→9, 1→9
Fold 235: balanced counts 0→10, 1→10
Fold 236: balanced counts 0→13, 1→13
Fold 237: balanced counts 0→10, 1→10
Fold 238: balanced counts 0→12, 1→12
Fold 239: balanced counts 0→15, 1→15
Fold 240: balanced counts 0→15, 1→15
Fold 241: balanced counts 0→11, 1→11
Fold 242: balanced counts 0→12, 1→12
Fold 243: balanced counts 0→12, 1→12
Fold 244: balanced counts 0→9, 1→9
Fold 245: balanced counts 0→11, 1→11
Fold 246: balanced counts 0→10, 1→10
Fold 247: balanced counts 0→14, 1→14
Fold 248: balanced counts 0→10, 1→10
Fold 249: balanced counts 0→13, 1→13
Fold 250: balanced counts 0→5, 1→5
Fold 251: balanced counts 0→13, 1→13
Fold 252: balanced counts 0→12, 1→12
Fold 253: balanced counts 0→13, 1→13
Fold 254: balanced counts 0→12, 1→12
Fold 255: balanced counts 0→10, 1→10
Fold 256: balanced counts 0→11, 1→11
Fold 257: balanced counts 0→9, 1→9
Fold 258: balanced counts 0→14, 1→14
Fold 259: balanced counts 0→13, 1→13
Fold 260: balanced counts 0→12, 1→12
Fold 261: balanced counts 0→10, 1→10
Fold 262: balanced counts 0→12, 1→12
Fold 263: balanced counts 0→12, 1→12
Fold 264: balanced counts 0→9, 1→9
Fold 265: balanced counts 0→11, 1→11
Fold 266: balanced counts 0→14, 1→14
Fold 267: balanced counts 0→9, 1→9
Fold 268: balanced counts 0→13, 1→13
Fold 269: balanced counts 0→11, 1→11
Fold 270: balanced counts 0→11, 1→11
Fold 271: balanced counts 0→8, 1→8
Fold 272: balanced counts 0→7, 1→7
Fold 273: balanced counts 0→10, 1→10
Fold 274: balanced counts 0→14, 1→14
Fold 275: balanced counts 0→14, 1→14
Fold 276: balanced counts 0→11, 1→11
Fold 277: balanced counts 0→13, 1→13
Fold 278: balanced counts 0→10, 1→10
Fold 279: balanced counts 0→12, 1→12
Fold 280: balanced counts 0→11, 1→11
Fold 281: balanced counts 0→13, 1→13
Fold 282: balanced counts 0→11, 1→11
Fold 283: balanced counts 0→8, 1→8
Fold 284: balanced counts 0→11, 1→11
Fold 285: balanced counts 0→14, 1→14
Fold 286: balanced counts 0→14, 1→14
Fold 287: balanced counts 0→13, 1→13
Fold 288: balanced counts 0→13, 1→13
Fold 289: balanced counts 0→13, 1→13
Fold 290: balanced counts 0→13, 1→13
Fold 291: balanced counts 0→9, 1→9
Fold 292: balanced counts 0→11, 1→11
Fold 293: balanced counts 0→10, 1→10
Fold 294: balanced counts 0→8, 1→8
Fold 295: balanced counts 0→10, 1→10
Fold 296: balanced counts 0→14, 1→14
Fold 297: balanced counts 0→7, 1→7
Fold 298: balanced counts 0→6, 1→6
Fold 299: balanced counts 0→14, 1→14
Fold 300: balanced counts 0→11, 1→11
Fold 301: balanced counts 0→14, 1→14
Fold 302: balanced counts 0→13, 1→13
Fold 303: balanced counts 0→9, 1→9
Fold 304: balanced counts 0→9, 1→9
Fold 305: balanced counts 0→8, 1→8
Fold 306: balanced counts 0→8, 1→8
Fold 307: balanced counts 0→7, 1→7
Fold 308: balanced counts 0→10, 1→10
Fold 309: balanced counts 0→14, 1→14
Fold 310: balanced counts 0→11, 1→11
